"Id","IsDeleted","ParentId","ParentSobjectType","CreatedById","CreatedDate","FieldName","DataType","OldvalString","NewvalString","OldvalFirstName","NewvalFirstName","OldvalLastName","NewvalLastName","OldvalNumber","NewvalNumber","OldvalDate","NewvalDate"
"017f40000DFWvEoAQL","0","a0Hf400000Apqj8EAB","Affiliation","005f4000003qkvcAAA","2019-04-23 06:10:21","createText","S","","","","","","","","","",""
"017f40000DFX4fFAQT","0","a0Hf400000ApqnZEAR","Affiliation","005f4000003qkvcAAA","2019-04-23 06:50:28","createText","S","","","","","","","","","",""
"017f40000DGqUpCAQV","0","068f4000009HvdNAAS","ContentVersion","005f40000042AhBAAU","2019-04-23 23:15:26","createText","S","","","","","","","","","",""
"017f40000DGqUpDAQV","0","069f4000008hQVKAA2","ContentDocument","005f40000042AhBAAU","2019-04-23 23:15:26","createText","S","","","","","","","","","",""
"017f40000DGqUzrAQF","0","068f4000009HvdOAAS","ContentVersion","005f40000042AhBAAU","2019-04-23 23:15:31","createText","S","","","","","","","","","",""
"017f40000DGqV79AQF","0","068f4000009HvfxAAC","ContentVersion","005f40000042AhBAAU","2019-04-23 23:25:49","createText","S","","","","","","","","","",""
"017f40000DGqV7AAQV","0","069f4000008hQXkAAM","ContentDocument","005f40000042AhBAAU","2019-04-23 23:25:50","createText","S","","","","","","","","","",""
"017f40000DGqV7BAQV","0","068f4000009HvfyAAC","ContentVersion","005f40000042AhBAAU","2019-04-23 23:27:36","createText","S","","","","","","","","","",""
"017f40000DGqVIZAQ3","0","068f4000009HvgvAAC","ContentVersion","005f40000042AhBAAU","2019-04-23 23:28:38","createText","S","","","","","","","","","",""
"017f40000DGqVJ8AQN","0","068f4000009HvfYAAS","ContentVersion","005f40000042AhBAAU","2019-04-23 23:24:27","createText","S","","","","","","","","","",""
"017f40000DGqVJ9AQN","0","069f4000008hQXQAA2","ContentDocument","005f40000042AhBAAU","2019-04-23 23:24:27","createText","S","","","","","","","","","",""
"017f40000DGqVY2AQN","0","068f4000009HvfdAAC","ContentVersion","005f40000042AhBAAU","2019-04-23 23:24:32","createText","S","","","","","","","","","",""
"017f40000DGqVipAQF","0","068f4000009HvfZAAS","ContentVersion","005f40000042AhBAAU","2019-04-23 23:24:37","createText","S","","","","","","","","","",""
"017f40000DGqVj3AQF","0","068f4000009HvfeAAC","ContentVersion","005f40000042AhBAAU","2019-04-23 23:24:41","createText","S","","","","","","","","","",""
