"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","UserId","Type","Key","Data","Version","TargetId","State"
"2hff4000000BWJkAAO","0","005f4000005rH70:LEX_ADOPTION:ADOPTION_FEATURE","2020-08-03 15:26:04","005f4000005rH70AAE","2020-08-11 13:53:00","005f4000005rH70AAE","2020-08-11 13:53:00","005f4000005rH70AAE","LEX_ADOPTION","ADOPTION_FEATURE","{""EinsteinSearchFeature"":{""version"":226.0,""prompts"":{""EinsteinSearchAdminPopover"":{""lastSeen"":1597153978599,""seenCount"":1,""closed"":1597153979979,""orchestrationId"":""EinsteinSearchAdminPopover"",""type"":""popover"",""version"":1}}},""OnboardingManager"":{""version"":226.0,""custom"":{""numInteractablePrompts"":1,""06mf4000001Ka19AAC_mruPromptId"":""TasksToAQueue"",""06mf40000006wqaAAA_mruPromptId"":""EinsteinSearchAdminPopover"",""06mf4000001Ka19AAC_mruPromptSeen"":1597153520245,""totalPromptsDisplayed"":3,""06mf40000006wqaAAA_mruPromptSeen"":1597153979979}},""density"":{""version"":226.0,""custom"":{""loggedInitial"":226.0}},""tasks"":{""version"":226.0,""prompts"":{""TasksToAQueueDocked"":{""lastSeen"":1597153520245,""seenCount"":1,""orchestrationId"":""TasksToAQueue"",""type"":""dockedComposer"",""version"":1}}},""lightningConversion"":{""version"":226.0,""prompts"":{""WelcomeMat"":{""lastSeen"":1596468365204,""seenCount"":1,""closed"":1596468372560,""orchestrationId"":""LightningConversion"",""type"":""modal"",""version"":1}}}}","1","","5"
"2hff4000000NOAWAA4","0","005f4000004IRPr:LEX_ADOPTION:ADOPTION_FEATURE","2019-03-05 12:45:50","005f4000004IRPrAAO","2019-03-07 21:33:52","005f4000004IRPrAAO","2019-03-07 21:33:52","005f4000004IRPrAAO","LEX_ADOPTION","ADOPTION_FEATURE","{""OnboardingManager"":{""version"":218.0,""custom"":{""06mf4000001Ka1AAAS_mruPromptId"":""ListViewPinnedListPopover"",""06mf4000001Ka19AAC_mruPromptId"":""LightningConversion"",""06mf4000001Ka1AAAS_mruPromptSeen"":1551790272460,""06mf4000001Ka19AAC_mruPromptSeen"":1551789994638,""totalPromptsDisplayed"":2}},""lightningConversion"":{""version"":218.0,""prompts"":{""WelcomeMat"":{""lastSeen"":1551789994638,""seenCount"":1,""closed"":1551789994638,""orchestrationId"":""LightningConversion"",""type"":""modal"",""version"":1}}},""lists"":{""version"":218.0,""prompts"":{""PinnedList"":{""lastSeen"":1551790272460,""seenCount"":1,""closed"":1551790272460,""orchestrationId"":""ListViewPinnedListPopover"",""type"":""popover"",""version"":1}}},""Experience"":{""version"":218.0,""custom"":{""switchToClassicCount"":1,""lastSwitchToClassic"":1551994432788}}}","1","","4"
"2hff4000000NOobAAG","0","005f4000004IWOF:LEX_ADOPTION:ADOPTION_FEATURE","2019-03-08 15:50:27","005f4000004IWOFAA4","2019-03-29 00:11:08","005f4000004IWOFAA4","2019-03-29 00:11:08","005f4000004IWOFAA4","LEX_ADOPTION","ADOPTION_FEATURE","{""Experience"":{""version"":218.0,""custom"":{""switchToClassicCount"":3,""lastSwitchToClassic"":1553818268789}},""OnboardingManager"":{""version"":218.0,""custom"":{""06mf40000006wqaAAA_mruPromptId"":""LightningConversion"",""totalPromptsDisplayed"":2,""06mf40000006wqaAAA_mruPromptSeen"":1553818254827}},""lightningConversion"":{""version"":218.0,""prompts"":{""WelcomeMat"":{""lastSeen"":1553818254827,""seenCount"":2,""closed"":1553818254827,""orchestrationId"":""LightningConversion"",""type"":""modal"",""version"":1}}}}","1","","6"
"2hff4000000NPE6AAO","0","005f4000004IWOA:LEX_ADOPTION:ADOPTION_FEATURE","2019-03-12 13:33:26","005f4000004IWOAAA4","2020-09-19 18:18:25","005f4000004IWOAAA4","2020-09-19 18:18:25","005f4000004IWOAAA4","LEX_ADOPTION","ADOPTION_FEATURE","{""Experience"":{""version"":218.0,""custom"":{""switchToClassicCount"":19,""lastSwitchToClassic"":1560536805707,""switchToLexCount"":9,""lastSwitchToLex"":1556477915470}},""OnboardingManager"":{""version"":218.0,""custom"":{""all_mruPromptId"":""LightningConversion"",""numInteractablePrompts"":2,""06mf4000001Ka19AAC_mruPromptId"":""AllNewSalesforceMobileApp"",""06mf40000006wqaAAA_mruPromptId"":""IdeaExchangePrioritization"",""06mf4000001Ka19AAC_mruPromptSeen"":1579738412072,""all_mruPromptSeen"":1557234518016,""totalPromptsDisplayed"":11,""06mf40000006wqaAAA_mruPromptSeen"":1600539505417}},""density"":{""version"":222.0,""custom"":{""loggedInitial"":222.0}},""tasks"":{""version"":224.0,""prompts"":{""TasksToAQueueDocked"":{""lastSeen"":1582124368133,""seenCount"":1,""closed"":1582124418123,""orchestrationId"":""TasksToAQueue"",""type"":""dockedComposer"",""version"":1}}},""lightningConversion"":{""version"":218.0,""prompts"":{""WelcomeMat"":{""lastSeen"":1560536715451,""seenCount"":7,""closed"":1560536715451,""orchestrationId"":""LightningConversion"",""type"":""modal"",""version"":1}}},""lists"":{""version"":218.0,""prompts"":{""PinnedList"":{""lastSeen"":1552397641017,""seenCount"":1,""closed"":1552397641017,""orchestrationId"":""ListViewPinnedListPopover"",""type"":""popover"",""version"":1}}},""lightningOnMobile"":{""version"":222.0,""prompts"":{""NewSalesforceMobileAppNotification"":{""lastSeen"":1579738407066,""seenCount"":1,""closed"":1579738412072,""orchestrationId"":""AllNewSalesforceMobileApp"",""type"":""overlay"",""version"":1}}},""IdeaExchangeReimagined"":{""version"":226.0,""prompts"":{""Prioritization"":{""lastSeen"":1600539502769,""seenCount"":1,""closed"":1600539505416,""orchestrationId"":""IdeaExchangePrioritization"",""type"":""overlay"",""version"":1}}}}","1","","49"
"2hff4000000PGtlAAG","0","005f4000002QF5N:LEX_ADOPTION:ADOPTION_FEATURE","2018-10-16 07:21:28","005f4000002QF5NAAW","2019-01-29 16:08:57","005f4000002QF5NAAW","2019-01-29 16:08:57","005f4000002QF5NAAW","LEX_ADOPTION","ADOPTION_FEATURE","{""Experience"":{""version"":216.0,""custom"":{""switchToClassicCount"":17,""lastSwitchToClassic"":1548778137570,""switchToLexCount"":13,""lastSwitchToLex"":1539708417318}},""OnboardingManager"":{""version"":216.0,""custom"":{""lastPrompt"":1548778133523,""numInteractablePrompts"":1,""totalPromptsDisplayed"":6}},""density"":{""version"":216.0,""prompts"":{""docked"":{""lastSeen"":1539696450171,""type"":""dockedComposer"",""version"":1,""custom"":{""count"":1,""closed"":true}}}}}","1","","37"
"2hff4000000PHNhAAO","0","005f4000003LLH5:LEX_ADOPTION:ADOPTION_FEATURE","2018-10-16 14:13:30","005f4000003LLH5AAO","2019-03-26 15:27:39","005f4000003LLH5AAO","2019-03-26 15:27:39","005f4000003LLH5AAO","LEX_ADOPTION","ADOPTION_FEATURE","{""Experience"":{""version"":216.0,""custom"":{""switchToClassicCount"":10,""lastSwitchToClassic"":1553614059319,""switchToLexCount"":3,""lastSwitchToLex"":1552100102541}},""OnboardingManager"":{""version"":216.0,""custom"":{""06mf40000006wqaAAA_mruPromptId"":""ListViewPinnedListPopover"",""numInteractablePrompts"":1,""totalPromptsDisplayed"":10,""06mf40000006wqaAAA_mruPromptSeen"":1551822250240}},""density"":{""version"":216.0,""prompts"":{""docked"":{""lastSeen"":1539704483535,""type"":""dockedComposer"",""version"":1,""custom"":{""count"":1,""closed"":true}}}},""lists"":{""version"":218.0,""prompts"":{""PinnedList"":{""lastSeen"":1551822250239,""seenCount"":1,""closed"":1551822250240,""orchestrationId"":""ListViewPinnedListPopover"",""type"":""popover"",""version"":1}}}}","1","","25"
"2hff4000000PI7uAAG","0","005f4000003LLZJ:LEX_ADOPTION:ADOPTION_FEATURE","2018-10-16 19:05:26","005f4000003LLZJAA4","2019-06-04 20:39:54","005f4000003LLZJAA4","2019-06-04 20:39:54","005f4000003LLZJAA4","LEX_ADOPTION","ADOPTION_FEATURE","{""OnboardingManager"":{""version"":216.0,""custom"":{""06mf4000001Ka19AAC_mruPromptId"":""ListViewPinnedListPopover"",""06mf4000001Ka19AAC_mruPromptSeen"":1559680793954,""numInteractablePrompts"":1,""totalPromptsDisplayed"":4}},""density"":{""version"":216.0,""prompts"":{""docked"":{""lastSeen"":1549567933868,""type"":""dockedComposer"",""version"":1,""custom"":{""count"":1,""closed"":true}}}},""lists"":{""version"":218.0,""prompts"":{""PinnedList"":{""lastSeen"":1559680793954,""seenCount"":1,""closed"":1559680793954,""orchestrationId"":""ListViewPinnedListPopover"",""type"":""popover"",""version"":1}}}}","1","","6"
"2hff4000000PbpOAAS","0","005f4000003LLZT:LEX_ADOPTION:ADOPTION_FEATURE","2018-10-21 04:15:34","005f4000003LLZTAA4","2018-10-21 04:15:45","005f4000003LLZTAA4","2018-10-21 04:15:45","005f4000003LLZTAA4","LEX_ADOPTION","ADOPTION_FEATURE","{""OnboardingManager"":{""version"":216.0,""custom"":{""lastPrompt"":1540095345373,""totalPromptsDisplayed"":2}}}","1","","1"
"2hff4000000RjHtAAK","0","005f40000041nYJ:LEX_ADOPTION:ADOPTION_FEATURE","2019-01-11 20:24:49","005f40000041nYJAAY","2019-01-11 20:33:03","005f40000041nYJAAY","2019-01-11 20:33:03","005f40000041nYJAAY","LEX_ADOPTION","ADOPTION_FEATURE","{""OnboardingManager"":{""version"":216.0,""custom"":{""lastPrompt"":1547238783080,""numInteractablePrompts"":1,""totalPromptsDisplayed"":3}},""density"":{""version"":216.0,""prompts"":{""docked"":{""lastSeen"":1547238770866,""type"":""dockedComposer"",""version"":1,""custom"":{""count"":1,""closed"":true}}}}}","1","","4"
"2hff4000000RmgTAAS","0","005f400000424IO:LEX_ADOPTION:ADOPTION_FEATURE","2019-02-01 01:38:12","005f400000424IOAAY","2020-08-24 19:14:14","005f400000424IOAAY","2020-08-24 19:14:14","005f400000424IOAAY","LEX_ADOPTION","ADOPTION_FEATURE","{""EinsteinSearchFeature"":{""version"":222.0,""prompts"":{""EinsteinSearchAdminPopover"":{""lastSeen"":1598296453881,""seenCount"":6,""closed"":1596376627789,""orchestrationId"":""EinsteinSearchAdminPopover"",""type"":""popover"",""version"":1}}},""transitionAssistant"":{""version"":220.0,""prompts"":{""meetTransitionAssistant"":{""type"":""overlay"",""version"":1}}},""Experience"":{""version"":216.0,""custom"":{""switchToClassicCount"":13,""lastSwitchToClassic"":1594828045131,""switchToLexCount"":12,""lastSwitchToLex"":1596376612338}},""OnboardingManager"":{""version"":216.0,""custom"":{""all_mruPromptId"":""EinsteinSearchAdminPopover"",""numInteractablePrompts"":9,""06mf40000006wqaAAA_mruPromptId"":""EinsteinSearchAdminPopover"",""all_mruPromptSeen"":1585937662899,""totalPromptsDisplayed"":17,""06mf40000006wqaAAA_mruPromptSeen"":1598296453881}},""density"":{""version"":216.0,""prompts"":{""docked"":{""lastSeen"":1566575240539,""seenCount"":2,""closed"":1566575267563,""orchestrationId"":""DensityDocked"",""type"":""dockedComposer"",""version"":2}},""custom"":{""loggedInitial"":222.0}},""tasks"":{""version"":224.0,""prompts"":{""TasksToAQueueDocked"":{""lastSeen"":1585937122857,""seenCount"":1,""orchestrationId"":""TasksToAQueue"",""type"":""dockedComposer"",""version"":1}}},""lightningConversion"":{""version"":224.0,""prompts"":{""WelcomeMat"":{""lastSeen"":1586196012132,""seenCount"":1,""closed"":1586196059593,""orchestrationId"":""LightningConversion"",""type"":""modal"",""version"":1}}},""lists"":{""version"":218.0,""prompts"":{""PinnedList"":{""lastSeen"":1549721941784,""seenCount"":1,""closed"":1549721941784,""orchestrationId"":""ListViewPinnedListPopover"",""type"":""popover"",""version"":1}}},""stdNavFeature"":{""version"":220.0,""prompts"":{""appNavPrompt"":{""lastSeen"":1562079758902,""seenCount"":1,""closed"":1562080000891,""orchestrationId"":""AppNavDocked"",""type"":""dockedComposer"",""version"":1}}},""lightningOnMobile"":{""version"":222.0,""prompts"":{""NewSalesforceMobileAppNotification"":{""lastSeen"":1573592022503,""seenCount"":1,""closed"":1573592129763,""orchestrationId"":""AllNewSalesforceMobileApp"",""type"":""overlay"",""version"":1}}},""Covid19"":{""version"":224.0,""prompts"":{""Resources"":{""lastSeen"":1588077121724,""seenCount"":1,""closed"":1588077161136,""orchestrationId"":""Covid19Resources"",""type"":""overlay"",""version"":1}}}}","1","","57"
