"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","UserId","FormFactor","AppDefinitionId"
"0Dsf4000005Vz9KCAS","0","","2018-05-20 01:16:58","005f4000002PEo1AAG","2018-05-20 01:28:35","005f4000002PEo1AAG","2018-05-20 01:28:35","005f4000002PEo1AAG","Large","06mf4000001Ka19AAC"
"0Dsf4000006Fp8aCAC","0","","2018-06-08 05:19:29","005f4000002PEo1AAG","2018-06-08 05:19:29","005f4000002PEo1AAG","2018-06-08 05:19:29","005f4000002PEo1AAG","Small","06mf4000001Ka15AAC"
"0Dsf4000006Fp8fCAC","0","","2018-06-08 05:22:57","005f4000002QF5NAAW","2018-10-16 14:53:19","005f4000002QF5NAAW","2018-10-16 14:53:19","005f4000002QF5NAAW","Large","06mf40000006wqaAAA"
"0Dsf4000006G7mkCAC","0","","2018-10-16 14:13:10","005f4000003LLH5AAO","2019-02-01 17:41:56","005f4000003LLH5AAO","2019-02-01 17:41:56","005f4000003LLH5AAO","Large","06mf40000006wqaAAA"
"0Dsf4000006G7qSCAS","0","","2018-10-16 19:05:14","005f4000003LLZJAA4","2019-06-04 20:41:13","005f4000003LLZJAA4","2019-06-04 20:41:13","005f4000003LLZJAA4","Large","06mf40000006wqaAAA"
"0Dsf4000006GN5XCAW","0","","2018-10-18 14:11:14","005f4000003LLZsAAO","2018-10-18 14:11:14","005f4000003LLZsAAO","2018-10-18 14:11:14","005f4000003LLZsAAO","Small","06mf4000001Ka15AAC"
"0Dsf4000006HItxCAG","0","","2018-10-21 04:11:51","005f4000003LLZTAA4","2018-10-21 04:11:51","005f4000003LLZTAA4","2018-10-21 04:11:51","005f4000003LLZTAA4","Large","06mf4000001Ka19AAC"
"0Dsf4000007InACCA0","0","","2019-03-05 12:45:43","005f4000004IRPrAAO","2019-03-06 02:26:10","005f4000004IRPrAAO","2019-03-06 02:26:10","005f4000004IRPrAAO","Large","06mf40000006wqaAAA"
"0Dsf4000007IngwCAC","0","","2019-03-08 15:20:51","005f4000004IWOAAA4","2019-03-08 15:20:51","005f4000004IWOAAA4","2019-03-08 15:20:51","005f4000004IWOAAA4","Small","06mf4000001Ka15AAC"
"0Dsf4000007Inh6CAC","0","","2019-03-08 15:48:21","005f4000004IWOFAA4","2019-03-08 15:48:21","005f4000004IWOFAA4","2019-03-08 15:48:21","005f4000004IWOFAA4","Small","06mf4000001Ka15AAC"
"0Dsf4000007InhBCAS","0","","2019-03-08 15:50:20","005f4000004IWOFAA4","2019-03-08 15:50:20","005f4000004IWOFAA4","2019-03-08 15:50:20","005f4000004IWOFAA4","Large","06mf4000001Ka19AAC"
"0Dsf4000007Io41CAC","0","","2019-03-12 13:32:58","005f4000004IWOAAA4","2019-06-14 18:25:22","005f4000004IWOAAA4","2019-06-14 18:25:22","005f4000004IWOAAA4","Large","06mf40000006wqaAAA"
"0Dsf4000007Z6DECA0","0","","2020-08-03 15:26:00","005f4000005rH70AAE","2020-08-11 13:52:54","005f4000005rH70AAE","2020-08-11 13:52:54","005f4000005rH70AAE","Large","06mf40000006wqaAAA"
"0Dsf4000007gb2tCAA","0","","2019-04-16 14:13:34","005f4000003qkvcAAA","2020-04-30 20:07:09","005f4000003qkvcAAA","2020-04-30 20:07:09","005f4000003qkvcAAA","Large","06mf40000006wqaAAA"
"0Dsf4000007gc9RCAQ","0","","2019-04-24 22:19:38","005f4000003qsOhAAI","2019-05-03 21:52:24","005f4000003qsOhAAI","2019-05-03 21:52:24","005f4000003qsOhAAI","Large","06mf40000006wqaAAA"
"0Dsf4000007gcDJCAY","0","","2019-04-25 18:49:49","005f4000003qsOhAAI","2019-04-25 18:49:49","005f4000003qsOhAAI","2019-04-25 18:49:49","005f4000003qsOhAAI","Small","06mf4000001Ka15AAC"
"0Dsf4000007gdl2CAA","0","","2019-05-15 00:54:38","005f4000003r8EnAAI","2019-05-15 05:56:08","005f4000003r8EnAAI","2019-05-15 05:56:08","005f4000003r8EnAAI","Large","06mf40000006wqaAAA"
"0Dsf4000007gdqbCAA","0","","2019-05-16 01:18:32","005f4000003r27pAAA","2019-05-16 01:18:32","005f4000003r27pAAA","2019-05-16 01:18:32","005f4000003r27pAAA","Small","06mf4000001Ka15AAC"
"0Dsf4000007gdqgCAA","0","","2019-05-16 01:19:36","005f4000003r27pAAA","2019-06-25 14:56:02","005f4000003r27pAAA","2019-06-25 14:56:02","005f4000003r27pAAA","Large","06mf40000006wqaAAA"
"0Dsf4000007gfGbCAI","0","","2019-05-23 18:05:35","005f4000003LLZYAA4","2019-05-23 18:05:35","005f4000003LLZYAA4","2019-05-23 18:05:35","005f4000003LLZYAA4","Large","06mf4000001Ka19AAC"
"0Dsf4000007kmwMCAQ","0","","2019-01-11 20:24:27","005f40000041nYJAAY","2019-02-01 02:41:44","005f40000041nYJAAY","2019-02-01 02:41:44","005f40000041nYJAAY","Large","06mf40000006wqaAAA"
"0Dsf4000007krRUCAY","0","","2019-02-01 22:46:57","005f400000424IOAAY","2020-08-02 13:57:58","005f400000424IOAAY","2020-08-02 13:57:58","005f400000424IOAAY","Large","06mf40000006wqaAAA"
"0Dsf4000007krSwCAI","0","","2019-02-02 17:43:37","005f400000425g7AAA","2019-02-03 13:14:16","005f400000425g7AAA","2019-02-03 13:14:16","005f400000425g7AAA","Large","06mf40000006wqaAAA"
"0Dsf4000007krTfCAI","0","","2019-02-02 19:11:02","005f400000425gCAAQ","2019-02-28 19:15:13","005f400000425gCAAQ","2019-02-28 19:15:13","005f400000425gCAAQ","Large","06mf4000001Ka19AAC"
"0Dsf4000007ksUQCAY","0","","2019-02-07 17:52:16","005f40000042AhBAAU","2019-04-16 20:03:41","005f40000042AhBAAU","2019-04-16 20:03:41","005f40000042AhBAAU","Large","06mf40000006wqaAAA"
