"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","npsp__Context_Type__c","npsp__Datetime__c","npsp__Email_Sent__c","npsp__Error_Type__c","npsp__Full_Message__c","npsp__Object_Type__c","npsp__Posted_in_Chatter__c","npsp__Record_URL__c","npsp__Stack_Trace__c","npsp__Related_Record_ID__c","npsp__Retry_Pending__c"
"a0Of400000zRrWHEA0","005f40000042AhBAAU","0","000008","2019-04-16 15:58:37","005f40000042AhBAAU","2019-04-16 15:58:40","005f40000042AhBAAU","2019-04-16 15:58:40","","2019-04-16 15:58:37","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400000zRrsjEAC","005f40000042AhBAAU","0","000009","2019-04-16 17:12:00","005f40000042AhBAAU","2019-04-16 17:12:04","005f40000042AhBAAU","2019-04-16 17:12:04","","2019-04-16 17:11:59","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: CANNOT_UPDATE_CONVERTED_LEAD, This lead was already converted to the contact Matthew Gardner on 4/16/2019.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001APupmEAD","005f40000042AhBAAU","0","000001","2019-02-09 18:08:25","005f40000042AhBAAU","2019-02-09 18:08:25","005f40000042AhBAAU","2019-02-09 18:08:25","","2019-02-09 18:08:25","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001APuprEAD","005f40000042AhBAAU","0","000002","2019-02-09 18:09:04","005f40000042AhBAAU","2019-02-09 18:09:11","005f40000042AhBAAU","2019-02-09 18:09:11","","2019-02-09 18:09:04","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001APurOEAT","005f40000042AhBAAU","0","000003","2019-02-09 18:16:16","005f40000042AhBAAU","2019-02-09 18:16:16","005f40000042AhBAAU","2019-02-09 18:16:16","","2019-02-09 18:16:16","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001APzZuEAL","005f40000042AhBAAU","0","000004","2019-02-11 21:22:10","005f40000042AhBAAU","2019-02-11 21:22:11","005f40000042AhBAAU","2019-02-11 21:22:11","","2019-02-11 21:22:10","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001AQFzdEAH","005f40000042AhBAAU","0","000005","2019-02-14 13:37:15","005f40000042AhBAAU","2019-02-14 13:37:15","005f40000042AhBAAU","2019-02-14 13:37:15","","2019-02-14 13:37:15","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001AXgIIEA1","005f40000042AhBAAU","0","000006","2019-02-20 22:25:42","005f40000042AhBAAU","2019-02-20 22:25:43","005f40000042AhBAAU","2019-02-20 22:25:43","","2019-02-20 22:25:42","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001AnH7YEAV","005f40000042AhBAAU","0","000007","2019-04-09 14:16:33","005f40000042AhBAAU","2019-04-09 14:17:05","005f40000042AhBAAU","2019-04-09 14:17:05","","2019-04-09 14:16:33","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BhOwlEAF","005f40000042AhBAAU","0","000010","2019-04-18 05:29:32","005f40000042AhBAAU","2019-04-18 05:30:24","005f40000042AhBAAU","2019-04-18 05:30:24","","2019-04-18 05:29:32","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
